Table I
Comparison of Monte Carlo Procedure and Series Solution
Option Parameters: sigma_0 = 10%, xi = 1, mu = 0, T-t = 180 Days

  S/X       B-S     Eq. 9   Biais Eq.9 (%)   Biais MC (%)   Std Error (%)
-------------------------------------------------------------------------
 0.75    0.0000    0.0000           ******         ******          ******
 0.76    0.0000    0.0000           ******         ******          ******
 0.77    0.0000    0.0000          1040.46        1007.27           53.22
 0.78    0.0000    0.0000           786.47         746.53           44.62
 0.79    0.0000    0.0001           588.78         463.93           22.82
 0.80    0.0000    0.0001           436.12         336.99           15.38
 0.81    0.0000    0.0001           319.22         253.99            9.70
 0.82    0.0001    0.0002           230.54         175.50            7.25
 0.83    0.0001    0.0003           163.96         136.89            5.17
 0.84    0.0002    0.0003           114.54          95.59            3.82
 0.85    0.0003    0.0005            78.32          65.85            2.78
 0.86    0.0004    0.0007            52.14          49.52            2.28
 0.87    0.0007    0.0009            33.53          36.83            1.79
 0.88    0.0010    0.0012            20.55          24.61            1.47
 0.89    0.0015    0.0017            11.70          16.71            1.25
 0.90    0.0022    0.0023             5.83          10.52            1.03
 0.91    0.0031    0.0031             2.07           5.52            0.86
 0.92    0.0042    0.0042            -0.23           1.49            0.72
 0.93    0.0057    0.0056            -1.53           0.78            0.63
 0.94    0.0075    0.0074            -2.17          -0.93            0.53
 0.95    0.0098    0.0095            -2.40          -2.51            0.45
 0.96    0.0125    0.0122            -2.38          -2.68            0.39
 0.97    0.0156    0.0153            -2.22          -2.97            0.33
 0.98    0.0193    0.0189            -1.98          -2.86            0.28
 0.99    0.0234    0.0230            -1.72          -1.90            0.24
 1.00    0.0280    0.0276            -1.45          -1.91            0.20
 1.01    0.0331    0.0327            -1.20          -1.70            0.16
 1.02    0.0386    0.0383            -0.97          -1.40            0.14
 1.03    0.0446    0.0442            -0.76          -0.83            0.11
 1.04    0.0509    0.0506            -0.58          -0.78            0.09
 1.05    0.0575    0.0573            -0.41          -0.35            0.08
 1.06    0.0644    0.0642            -0.28          -0.24            0.06
 1.07    0.0715    0.0714            -0.16          -0.13            0.05
 1.08    0.0787    0.0787            -0.06          -0.00            0.04
 1.09    0.0861    0.0861             0.01           0.16            0.03
 1.10    0.0936    0.0937             0.07           0.16            0.02
 1.11    0.1011    0.1012             0.11           0.19            0.02
 1.12    0.1086    0.1088             0.13           0.21            0.02
 1.13    0.1161    0.1163             0.15           0.19            0.01
 1.14    0.1236    0.1238             0.15           0.18            0.01
 1.15    0.1310    0.1312             0.15           0.16            0.01
 1.16    0.1383    0.1385             0.14           0.13            0.01
 1.17    0.1456    0.1458             0.13           0.12            0.01
 1.18    0.1527    0.1529             0.11           0.10            0.00
 1.19    0.1598    0.1600             0.10           0.08            0.00
 1.20    0.1668    0.1669             0.08           0.06            0.00
 1.21    0.1736    0.1737             0.07           0.05            0.00
 1.22    0.1804    0.1805             0.06           0.04            0.00
 1.23    0.1870    0.1871             0.05           0.03            0.00
 1.24    0.1936    0.1936             0.04           0.03            0.00
